UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 May12 ?        00:00:13 /sbin/init splash
root           2       0  0 May12 ?        00:00:00 [kthreadd]
root           3       2  0 May12 ?        00:00:00 [rcu_gp]
root           4       2  0 May12 ?        00:00:00 [rcu_par_gp]
root           9       2  0 May12 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 May12 ?        00:00:04 [ksoftirqd/0]
root          11       2  0 May12 ?        00:03:36 [rcu_sched]
root          12       2  0 May12 ?        00:00:00 [migration/0]
root          13       2  0 May12 ?        00:00:00 [idle_inject/0]
root          14       2  0 May12 ?        00:00:00 [cpuhp/0]
root          15       2  0 May12 ?        00:00:00 [cpuhp/1]
root          16       2  0 May12 ?        00:00:00 [idle_inject/1]
root          17       2  0 May12 ?        00:00:00 [migration/1]
root          18       2  0 May12 ?        00:00:08 [ksoftirqd/1]
root          21       2  0 May12 ?        00:00:00 [cpuhp/2]
root          22       2  0 May12 ?        00:00:00 [idle_inject/2]
root          23       2  0 May12 ?        00:00:00 [migration/2]
root          24       2  0 May12 ?        00:00:03 [ksoftirqd/2]
root          27       2  0 May12 ?        00:00:00 [cpuhp/3]
root          28       2  0 May12 ?        00:00:00 [idle_inject/3]
root          29       2  0 May12 ?        00:00:01 [migration/3]
root          30       2  0 May12 ?        00:00:03 [ksoftirqd/3]
root          33       2  0 May12 ?        00:00:00 [kdevtmpfs]
root          34       2  0 May12 ?        00:00:00 [netns]
root          35       2  0 May12 ?        00:00:00 [rcu_tasks_kthre]
root          36       2  0 May12 ?        00:00:00 [kauditd]
root          38       2  0 May12 ?        00:00:00 [khungtaskd]
root          39       2  0 May12 ?        00:00:00 [oom_reaper]
root          40       2  0 May12 ?        00:00:00 [writeback]
root          41       2  0 May12 ?        00:00:01 [kcompactd0]
root          42       2  0 May12 ?        00:00:00 [ksmd]
root          43       2  0 May12 ?        00:00:00 [khugepaged]
root         136       2  0 May12 ?        00:00:00 [kintegrityd]
root         137       2  0 May12 ?        00:00:00 [kblockd]
